ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES
1125,,,,10/21/21,,,28,70,KL,,,1125,,,
1529,,,,10/21/21,,,28,70,PK,,,1529,,,
1598,,,,10/21/21,,,28,70,PK,,,1598,,,
1111,,,,10/21/21,,,28,70,KL,,,1111,,,
1489,,,,10/21/21,,,28,70,PK,,,1489,,,
1622,,,,10/21/21,,,28,70,PK,,,1622,,,
1237,,,,10/21/21,,,28,70,KL,,,1237,,,
1292,,,,10/21/21,,,28,70,KL,,,1292,,,
1315,,,,10/21/21,,,28,70,KL,,,1315,,,
1421,,,,10/21/21,,,28,70,PK,,,1421,,,
1430,,,,10/21/21,,,28,70,PK,,,1430,,,
1587,,,,10/21/21,,,28,70,PK,,,1587,,,
1603,,,,10/21/21,,,28,70,PK,,,1603,,,
1591,,,,10/21/21,,,28,70,PK,,,1591,,,
1560.5,,,,10/21/21,,,28,70,KL,,,1560.5,,,
1284,,,,10/21/21,,,28,70,KL,,,1284,,,
1530,,,,10/21/21,,,28,70,PK,,,1530,,,
1585,,,,10/21/21,,,28,70,PK,,,1585,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES
1564,,,,10/22/21,,,40,70,KL,,,1564,,,
1415,,,,10/22/21,,,40,70,PK,,,1415,,,
1236,,,,10/22/21,,,40,70,KL,,,1236,,,
1383,,,,10/22/21,,,40,70,KL,,,1383,,,
1425,,,,10/22/21,,,40,70,PK,,,1425,,,
1544.5,,,,10/22/21,,,40,70,KL,,,1544.5,,,
1457,,,,10/22/21,,,40,70,PK,,,1457,,,
1252,,,,10/22/21,,,40,70,KL,,,1252,,,
1469,,,,10/22/21,,,40,70,PK,,,1469,,,
1551,,,,10/22/21,,,40,70,PK,,,1551,,,
1563,,,,10/22/21,,,40,70,KL,,,1563,,,
1461,,,,10/22/21,,,40,70,PK,,,1461,,,
1554,,,,10/22/21,,,40,70,PK,,,1554,,,
1646,,,,10/22/21,,,40,70,PK,,,1646,,,
1555,,,,10/22/21,,,40,70,PK,,,1555,,,
1260,,,,10/22/21,,,40,70,KL,,,1260,,,
1447,,,,10/22/21,,,40,70,PK,,,1447,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES
1681,,,,10/26/21,,,12,70,,,,1681,,,
1586,,,,10/26/21,,,12,70,,,,1586,,,
1688,,,,10/26/21,,,12,70,,,,1688,,,
1544,,,,10/26/21,,,12,70,,,,1544,,,
1604,,,,10/26/21,,,12,70,,,,1604,,,
1495,,,,10/26/21,,,12,70,,,,1495,,,
1677,,,,10/26/21,,,12,70,,,,1677,,,
1676,,,,10/26/21,,,12,70,,,,1676,,,
1459,,,,10/26/21,,,12,70,,,,1459,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES
1557.5,,,,10/27/21,,,36,70,KL,,,1557.5,,,
1553,,,,10/27/21,,,36,70,PK,,,1553,,,
1616,,,,10/27/21,,,36,70,PK,,,1616,,,
1596,,,,10/27/21,,,36,70,PK,,,1596,,,
1365,,,,10/27/21,,,36,70,KL,,,1365,,,
1682,,,,10/27/21,,,36,70,PK,,,1682,,,
1620,,,,10/27/21,,,36,70,PK,,,1620,,,
1570,,,,10/27/21,,,36,70,KL,,,1570,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES
1594,,,,10/28/21,,,20,70,PK,,,1594,,,
1742,,,,10/28/21,,,20,70,PK,,,1742,,,
1665,,,,10/28/21,,,20,70,PK,,,1665,,,
1607,,,,10/28/21,,,20,70,PK,,,1607,,,
1729,,,,10/28/21,,,20,70,PK,,,1729,,,
1612,,,,10/28/21,,,20,70,PK,,,1612,,,
1609,,,,10/28/21,,,20,70,PK,,,1609,,,
1655,,,,10/28/21,,,20,70,PK,,,1655,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES
1673,,,,10/29/21,,,40,70,PK,,,1673,,,
1734,,,,10/29/21,,,40,70,PK,,,1734,,,
1384,,,,10/29/21,,,40,70,KL,,,1384,,,
1606,,,,10/29/21,,,40,70,PK,,,1606,,,
1664,,,,10/29/21,,,40,70,PK,,,1664,,,
1685,,,,10/29/21,,,40,70,KL,,,1685,,,
1727,,,,10/29/21,,,40,70,PK,,,1727,,,
1680,,,,10/29/21,,,40,70,PK,,,1680,,,
1589,,,,10/29/21,,,40,70,PK,,,1589,,,
1645,,,,10/29/21,,,40,70,PK,,,1645,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES
1744,,,,11/2/21,,,12,70,PK,,,1744,,,
1747,,,,11/2/21,,,12,70,PK,,,1747,,,
1565,,,,11/2/21,,,12,70,KL,,,1565,,,
1689,,,,11/2/21,,,12,70,KL,,,1689,,,
1547,,,,11/2/21,,,12,70,PK,,,1547,,,
1628,,,,11/2/21,,,12,70,PK,,,1628,,,
1686,,,,11/2/21,,,12,70,KL,,,1686,,,
1584,,,,11/2/21,,,12,70,PK,,,1584,,,
1735,,,,11/2/21,,,12,,PK,,,1735,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES
1725,,,,11/3/21,,,36,70,PK,,,1725,,,
1536,,,,11/3/21,,,36,70,PK,,,1536,,,
1627,,,,11/3/21,,,36,70,PK,,,1627,,,
1558.5,,,,11/3/21,,,36,70,KL,,,1558.5,,,
1736,,,,11/3/21,,,36,70,PK,,,1736,,,
1687,,,,11/3/21,,,36,70,KL,,,1687,,,
1329,,,,11/3/21,,,36,70,KL,,,1329,,,
1650,,,,11/3/21,,,36,70,PK,,,1650,,,
1745,,,,11/3/21,,,36,70,PK,,,1745,,,
1605,,,,11/3/21,,,36,70,PK,,,1605,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES
1738,,,,11/4/21,,,28,70,PK,,,1738,,,
1728,,,,11/4/21,,,28,70,PK,,,1728,,,
1733,,,,11/4/21,,,28,70,PK,,,1733,,,
1741,,,,11/4/21,,,28,70,PK,,,1741,,,
1672,,,,11/4/21,,,28,70,KL,,,1672,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,temp,RH,pop,flew,flight_type,ID,mass,Eggs,NOTES
1739,,,,11/5/21,,,40,70,PK,,,1739,,,
1542,,,,11/5/21,,,40,70,KL,,,1542,,,
1737,,,,11/5/21,,,40,70,PK,,,1737,,,
1743,,,,11/5/21,,,40,70,PK,,,1743,,,
1746,,,,11/5/21,,,40,70,PK,,,1746,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,